date,department,amount
2026-01-01,食品,96051
2026-01-01,日用品,44865
2026-01-01,衣料品,48432
2026-01-01,雑貨,28330
2026-01-02,食品,92548
2026-01-02,日用品,40342
2026-01-02,衣料品,49756
2026-01-02,雑貨,33773
2026-01-03,食品,115325
2026-01-03,日用品,52054
2026-01-03,衣料品,64323
2026-01-03,雑貨,39217
2026-01-04,食品,121064
2026-01-04,日用品,50696
2026-01-04,衣料品,61752
2026-01-04,雑貨,40250
2026-01-05,食品,85713
2026-01-05,日用品,42214
2026-01-05,衣料品,41986
2026-01-05,雑貨,27356
2026-01-06,食品,81891
2026-01-06,日用品,42994
2026-01-06,衣料品,44497
2026-01-06,雑貨,31165
2026-01-07,食品,97246
2026-01-07,日用品,43163
2026-01-07,衣料品,39548
2026-01-07,雑貨,29188
2026-01-08,食品,95669
2026-01-08,日用品,44215
2026-01-08,衣料品,43456
2026-01-08,雑貨,29337
2026-01-09,食品,88523
2026-01-09,日用品,40983
2026-01-09,衣料品,53720
2026-01-09,雑貨,28532
2026-01-10,食品,119739
2026-01-10,日用品,58648
2026-01-10,衣料品,59007
2026-01-10,雑貨,37788
2026-01-11,食品,121113
2026-01-11,日用品,55052
2026-01-11,衣料品,55831
2026-01-11,雑貨,38361
2026-01-12,食品,106482
2026-01-12,日用品,38395
2026-01-12,衣料品,52922
2026-01-12,雑貨,30794
2026-01-13,食品,91113
2026-01-13,日用品,50831
2026-01-13,衣料品,52537
2026-01-13,雑貨,27576
2026-01-14,食品,96614
2026-01-14,日用品,45840
2026-01-14,衣料品,48770
2026-01-14,雑貨,32169
2026-01-15,食品,95530
2026-01-15,日用品,46157
2026-01-15,衣料品,55216
2026-01-15,雑貨,28854
2026-01-16,食品,97602
2026-01-16,日用品,42194
2026-01-16,衣料品,50022
2026-01-16,雑貨,27606
2026-01-17,食品,114488
2026-01-17,日用品,53913
2026-01-17,衣料品,66348
2026-01-17,雑貨,41622
2026-01-18,食品,107340
2026-01-18,日用品,51291
2026-01-18,衣料品,65101
2026-01-18,雑貨,32051
2026-01-19,食品,92483
2026-01-19,日用品,43477
2026-01-19,衣料品,54497
2026-01-19,雑貨,32185
2026-01-20,食品,93527
2026-01-20,日用品,42526
2026-01-20,衣料品,48527
2026-01-20,雑貨,34221
2026-01-21,食品,92753
2026-01-21,日用品,42754
2026-01-21,衣料品,50914
2026-01-21,雑貨,30208
2026-01-22,食品,94526
2026-01-22,日用品,39913
2026-01-22,衣料品,49472
2026-01-22,雑貨,29420
2026-01-23,食品,105001
2026-01-23,日用品,46108
2026-01-23,衣料品,49422
2026-01-23,雑貨,32134
2026-01-24,食品,116788
2026-01-24,日用品,59383
2026-01-24,衣料品,61870
2026-01-24,雑貨,39908
2026-01-25,食品,107654
2026-01-25,日用品,56292
2026-01-25,衣料品,53537
2026-01-25,雑貨,31920
2026-01-26,食品,93702
2026-01-26,日用品,40663
2026-01-26,衣料品,50168
2026-01-26,雑貨,35981
2026-01-27,食品,89651
2026-01-27,日用品,41631
2026-01-27,衣料品,50331
2026-01-27,雑貨,31706
2026-01-28,食品,94686
2026-01-28,日用品,43096
2026-01-28,衣料品,52300
2026-01-28,雑貨,31772
2026-01-29,食品,88099
2026-01-29,日用品,43541
2026-01-29,衣料品,49657
2026-01-29,雑貨,27930
2026-01-30,食品,98038
2026-01-30,日用品,40811
2026-01-30,衣料品,53368
2026-01-30,雑貨,30973
2026-01-31,食品,120909
2026-01-31,日用品,52183
2026-01-31,衣料品,61310
2026-01-31,雑貨,32035
2026-02-01,食品,111127
2026-02-01,日用品,56725
2026-02-01,衣料品,53205
2026-02-01,雑貨,41641
2026-02-02,食品,84095
2026-02-02,日用品,46769
2026-02-02,衣料品,47830
2026-02-02,雑貨,33144
2026-02-03,食品,98774
2026-02-03,日用品,38678
2026-02-03,衣料品,56426
2026-02-03,雑貨,34798
