date,product,department,amount
2026-01-01,野菜セット,食品,12141
2026-01-01,お弁当,食品,18831
2026-01-01,洗剤,日用品,6702
2026-01-01,ティッシュ,日用品,8265
2026-01-01,Tシャツ,衣料品,9992
2026-01-01,冬物コート,衣料品,8243
2026-01-01,食器,雑貨,6938
2026-01-01,文房具,雑貨,4497
2026-01-02,野菜セット,食品,10259
2026-01-02,お弁当,食品,17558
2026-01-02,洗剤,日用品,7924
2026-01-02,ティッシュ,日用品,6777
2026-01-02,Tシャツ,衣料品,9821
2026-01-02,冬物コート,衣料品,5525
2026-01-02,食器,雑貨,5840
2026-01-02,文房具,雑貨,3670
2026-01-03,野菜セット,食品,16270
2026-01-03,お弁当,食品,23330
2026-01-03,洗剤,日用品,10694
2026-01-03,ティッシュ,日用品,8578
2026-01-03,Tシャツ,衣料品,10952
2026-01-03,冬物コート,衣料品,8086
2026-01-03,食器,雑貨,5376
2026-01-03,文房具,雑貨,5359
2026-01-04,野菜セット,食品,19188
2026-01-04,お弁当,食品,29307
2026-01-04,洗剤,日用品,12866
2026-01-04,ティッシュ,日用品,9387
2026-01-04,Tシャツ,衣料品,10794
2026-01-04,冬物コート,衣料品,10238
2026-01-04,食器,雑貨,6695
2026-01-04,文房具,雑貨,5332
2026-01-05,野菜セット,食品,12633
2026-01-05,お弁当,食品,19983
2026-01-05,洗剤,日用品,8764
2026-01-05,ティッシュ,日用品,7139
2026-01-05,Tシャツ,衣料品,8543
2026-01-05,冬物コート,衣料品,6946
2026-01-05,食器,雑貨,7159
2026-01-05,文房具,雑貨,4441
2026-01-06,野菜セット,食品,12716
2026-01-06,お弁当,食品,21061
2026-01-06,洗剤,日用品,10026
2026-01-06,ティッシュ,日用品,6248
2026-01-06,Tシャツ,衣料品,9607
2026-01-06,冬物コート,衣料品,8074
2026-01-06,食器,雑貨,5806
2026-01-06,文房具,雑貨,4542
2026-01-07,野菜セット,食品,15532
2026-01-07,お弁当,食品,18216
2026-01-07,洗剤,日用品,9327
2026-01-07,ティッシュ,日用品,6762
2026-01-07,Tシャツ,衣料品,11651
2026-01-07,冬物コート,衣料品,5569
2026-01-07,食器,雑貨,5175
2026-01-07,文房具,雑貨,4191
2026-01-08,野菜セット,食品,14133
2026-01-08,お弁当,食品,21306
2026-01-08,洗剤,日用品,10774
2026-01-08,ティッシュ,日用品,5849
2026-01-08,Tシャツ,衣料品,10808
2026-01-08,冬物コート,衣料品,7017
2026-01-08,食器,雑貨,5182
2026-01-08,文房具,雑貨,4764
2026-01-09,野菜セット,食品,11645
2026-01-09,お弁当,食品,14935
2026-01-09,洗剤,日用品,8813
